id,commit,build,exec_time,comment,fix,lastFix
182,5a59a1f6,SUCCESS,13,Make tests pass using non-English default locale,{'lastFix': None},
183,7bdb324b,SUCCESS,14,Javadoc fix to MutablePeriod [3413869],{'lastFix': None},
184,0973b460,SUCCESS,14,Fix time-zone names in non-English locales on JDK1.6 [3412910],{'lastFix': None},
185,c5a5190e,SUCCESS,13,Remove broken test class,{'lastFix': None},
186,49558a52,SUCCESS,14,Work around maven bug that puts duplicate files in source jar,{'lastFix': None},
187,5d127a3a,SUCCESS,14,Fix release date,{'lastFix': None},
188,1ec3c2f0,SUCCESS,14,Support parsing of date-time zone names like BST or British Summer Time,{'lastFix': None},
189,3ea62678,SUCCESS,14,Add deprcated annotation,{'lastFix': None},
190,07002501,SUCCESS,14,Comment out pmd to avoid Out Of Memory issues,{'lastFix': None},
191,aa17c531,SUCCESS,13,Work around maven bug that puts duplicate files in source jar,{'lastFix': None},
192,f64399f3,SUCCESS,13,Time zone database 2011h,{'lastFix': None},
193,fc896e3a,SUCCESS,14,Prepare for v2.0,{'lastFix': None},
194,2c5adef4,SUCCESS,14,Add static now() methods to major classes,{'lastFix': None},
195,d88831b6,SUCCESS,13,Minor tweaks to code from Dave Brosius,{'lastFix': None},
196,4d3256df,SUCCESS,14,Merge commit '6b1b998c82879495a0587fc0559314e9605061bc',{'lastFix': None},
197,80486e85,SUCCESS,13,Support parsing of date-time zone names like BST or British Summer Time,{'lastFix': None},
198,53eadfbd,SUCCESS,13,Support parsing of date-time zone IDs like Europe/London,{'lastFix': None},
199,6b1b998c,SUCCESS,15,make sure streams get closed when exception occurs,{'lastFix': None},
200,ae451955,SUCCESS,13,add equals/hashCode methods for classes that implements compareTo,{'lastFix': None},
201,56ce9baf,SUCCESS,13,use the Integer cache where possible,{'lastFix': None},
202,9d991bcf,SUCCESS,14,use the Integer cache where possible,{'lastFix': None},
203,d6f06ab1,SUCCESS,13,push code down to inner block where it's actually used,{'lastFix': None},
204,c9322762,SUCCESS,14,npe guard,{'lastFix': None},
205,05df0f46,SUCCESS,13,Make compile on Java 5 rather than Java 6,{'lastFix': None},
206,67f1a30f,SUCCESS,14,Rework fix to ensure immutable classes by using volatile instance variables,{'lastFix': None},
207,47da3365,SUCCESS,13,Prepare for v2.0-RC1,{'lastFix': None},
208,2bad1780,SUCCESS,14,Time-zone DB 2011g,{'lastFix': None},
209,067983f2,SUCCESS,13,Ensure immutable classes by using final instance variables,{'lastFix': None},
210,b55a47fa,SUCCESS,13,Test serialization of Duration,{'lastFix': None},
211,72ec8541,SUCCESS,14,Add more documentation about not parsing 24:00,{'lastFix': None},
212,9f24508a,SUCCESS,14,Readme,{'lastFix': None},
213,e6cd9ba1,SUCCESS,13,Rely on interface rather than redeclaration when adding Comparable to ReadablePartial interface for better backwards compatibility,{'lastFix': None},
214,64404332,SUCCESS,14,Add Comparable to ReadablePartial interface,{'lastFix': None},
215,f67b62aa,SUCCESS,13,Clarify Javadoc around week-of-weekyear,{'lastFix': None},
216,8dc39649,SUCCESS,14,Add DateTime.withTimeAtStartOfDay() [3304757],{'lastFix': None},
217,24145245,SUCCESS,14,Setup standard Eclipse environment and git ignores,{'lastFix': None},
218,88d917b1,SUCCESS,14,Mark current version as a snapshot,{'lastFix': None},
219,90c44c4e,SUCCESS,14,Update following move to GitHub,{'lastFix': None},
220,67e4663f,SUCCESS,14,Add basic readme,{'lastFix': None},
221,27fde774,SUCCESS,14,Add basic Eclipse files,{'lastFix': None},
222,0f54d320,SUCCESS,14,Add gitignore,{'lastFix': None},
223,df4a82f4,SUCCESS,14,Remove JodaTime folder moving files to top level,{'lastFix': None},
224,72b22654,SUCCESS,15,Remove Joda-Time contrib folder - active projects now independent at GitHub,{'lastFix': None},
225,3ec46adf,SUCCESS,14,"Move to Hibernate 3.6, with flexible Joda-Time and Hibernate versioning (provided dependencies)",{'lastFix': None},
226,149da408,SUCCESS,13,Extra tests to ensure constructor behaviour at overlap,{'lastFix': None},
227,b8ce739c,SUCCESS,14,Clarify Javadoc re Julian Gregorian cutover,{'lastFix': None},
